what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1510294843111
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1510294843111
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1510294843111
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510294843111
java.vm.specification.version,sysinfo,,,"1.0",1510294843111
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1510294843111
java.vm.version,sysinfo,,,"20.45-b01",1510294843111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510294843939
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510294846495
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510294846524
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1510294846545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510294849245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510294850191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510294852350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510294853371
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510294853446
stopped,bundle,com.soyatec.database,3.7.1.20110624,"com.soyatec.database",1510294853714
stopped,bundle,com.soyatec.edepend,3.7.1.20110624,"com.soyatec.edepend",1510294853715
stopped,bundle,com.soyatec.eemf,3.7.1.20110624,"com.soyatec.eemf",1510294853715
stopped,bundle,com.soyatec.euml2,3.7.1.20110624,"com.soyatec.euml2",1510294853715
stopped,bundle,com.soyatec.project.diagram,3.7.1.20110624,"com.soyatec.project.diagram",1510294853715
stopped,bundle,com.soyatec.project,3.7.1.20110624,"com.soyatec.project",1510294853715
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1510294853715
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1510294853715
stopped,bundle,com.yss.sofa.ide.builder,1.1.0,"com.yss.sofa.ide.builder",1510294853715
